text,label
prea b supprimer document reference doc doc reference nest document merci supprimer eco,0
ocm aaaaaao non visible devin,0
bonjour merci prendre compte dossier aaaaao non visible devin merci faire necessaire asap svp dossier aaaaaao visible devin,1
bonjour merci regler souci propos detachement pa pdef voulais detacher deux pa pdef concerne possede main ref deux pa pa pa ref concernee a svp tres urgent merci contacter asap urgence svp,1
while promoting eco to waitapp state facing some plm issue which is related to a,0
cannot open cfao palette,0
lors louverture palette message derreur cidessus apparait,0
sd,0
bonjour eco letat definir composant liens gbom letat propose cest urgent officialisation prevu demain eco eco,1
bonjour merci regler souci propos qchecker narrive enregistrer qchecker d malgre plusieurs tentatives svp tres urgent cordialement,1
merci donner lacces projet ox nexiste projets cidessous,0
plmpasport to request p role for apqp grid rate,0
passe fournisseur a expire a perdu acces grille apqp surtout personne pilotant grille a demissionne a cree mal ticket cote support fournisseur retour ca plus mois quon resoudre probleme solution jusqua merci aider debloquer situation,0
bonjour valideur a trouve probleme valider eco a cause leffectivite eco letat definir composants merci voir dou viens proleme eco,0
narrive enregistrer pdw prea,0
hello can you change the ownership of this pdef a from bex cmp to mecanique cmp with kind regards bonjour,0
hallo plm and dlive are working very slow for example it take minutes until an eco or ecr opens in plm supmovvv,0
duplication of apqp and demote jalon,0
hello please delete objects under the fm hello objects under above mentioned fms are not yet removed please do the needful asap please find attached snap for your reference,1
please migrate the defs under two cxs into plm which cause user yiyuan yang cannot save position in v the two cxs are cx cx the related defs under the two cxs are with mastership article please contact user u yiyuan yang,0
bonjour valideur narrive retrograder leco eco merci contacter david bosserdet refus eco cest urgent,1
delete the cancelled part reference plm sc champprojet pe,0
bonjour jarrive a reviser reference a leco merci,0
lincident plpp a solde etre solutionne laisse maessage suivant pouvez creer nouvel incident revisions supprimer bien precises quil ya version superieur b cree apres louverture incident jouvre nouvel incident urgent lutilisateur attend pouvoir utiliser moyen toute urgence semaines lincident a ouvert suppression revision b moyen mczff eaf mczfu mczfv mczfg rattacher leaf mczfe moyen full mczff revision a livrable attendu na migre lindice b valide faut revenir lindice a initial urgent faire suivre lincident linformatique merci,1
bonjour narrive a transferer propriete leco bonjour cest demande urgente pourriez svp traiter urgence,1
bonjour jai besoin reviser document suivant doc officialisation ca marche pourriezvous svp maider merci,0
hello narrive pousser maturite pdd ref communiquee jai tente commencer dd resultat bloquee dd frozen pdd in work merci aide rapide urgent bien cdt,1
bonjour jarrive enregistrer modifications pdef merci contacter asap reference plm champprojet cmp,1
bonjour merci dajouter couple serrage suivant vnb pdef sap asap,1
already created ticket times still not yet resolved rgs issue could you pease check and solve my issue i have submitted in fluent but fluent files are not downloading in given path folder facing fluent issue,0
bonjour merci changer mastership ref b eco merci davance,0
i need the creation of new apqp duplicated from apqp,0
a a in eco not can push only in the in work state reference plm a a eco champprojet emp,0
bonjour souhaite transferer propriete leco suivant eco vers concepteur oussama erafass sc role concepteur mecanique emp ps proprietaire actuel courant narrive transferer propriete merci faire necessaire urgent faire promotion leco aujourdhui,1
bonjour jarrive valider attribut technique merci resoudre probleme asap merci,1
bonjour seraitil possible mouvriez droits lectureecriture sdm compte sd partie synthese choc projet l,0
bonjour peux engager variantes fm cote concepteur pense quil a probleme niveau cette fm quest statut ref tjr statut engagees dcommerci maider asap,1
hello please modify the workflow ccsacontainment solutions add sd sd jv remove prabhakaran mahavishnu thanks satya hello good day user request please modify the workflow ccsacontainment solutions add sd sd jv remove prabhakaran mahavishnu require concurrence from project lead rajkamal singh to modify the below workflow waiting for the user response to proceed further,0
catia v author is not working for the user tta sreeraj mavila but he has the access for virtual desktop application please resolve the same asap thanks,1
eco life cycle cannot be advanced and prea version cannot be upgraded reference plm eco life cycle cannot be advanced and prea version cannot be upgraded champprojet l,0
bonjour narrive a envoyer emails fornisseur sinjin emails consideres spam undesirable merci faire necessaire resoudre probleme fiche modification,0
bonjour merci debloquer situation tres urgent peux creer nouvelle revision majeur dun pdwdrw voici message derreur pj merci contexte securite de cmp reference plm,1
bonjour peux promuvoir leco cause leffectivite jai deja ouvret incident websd resultat merci revoir cest tres urgent eco,1
bonjour sais a modifie pdef javais versionne pdef prea mettre nouveau pdi retrouve prea inwork pdef dautant plus jai annuler cette prise dindice pdef merci aide visibilite partir lidentifiant dis annuler version possible bien cdt merci contacter matinee tres urgent svp,1
bonjour jai besoin changement mastership ref suivant bonjour eco eco ecr ecr,0
hi please i need in urgent the access for the project d domaine construction modele,1
bonjour merci rattacher cet doc ref doc elements concerne eco cest urgent merci,1
bonjour rencontre probleme niveau modification aa aa versions encours b migres ec jai demande actuelle modification merci intervention urgence,1
remontee dcom plm a assurer suivant photo,0
bonjour pouvezvous svp faire changement mastership references suivantes leco suivant eco cest urgent afin commencer traitement plutot possible bonjour aimable relance cordialement,1
bonjour nrsquo licence metapost jrsquo besoin urgent,1
bonjour jai besoin role permanent pilote projet mecanique projet prsbev napparait liste plm passport,0
bonjour moment larchivage livrable sdm lent page tourne longues durees,0
please provide powertools access for projects scx and spf to be able to raise request for nppa management,0
bonjour jai probleme dengagement leco a letat attend approbation cordialement champ projet cmp hello urgent please cordially,1
bonjour jespere portez bien souhaite changer maitrise mastership deux reference suivantes correction mnu suite probleme migration pdef support fah prea suport fah eco cordialement ecr bonjour rattachement prea pdef voir pj peuton stp poursuivre changement mastership prea davance merci aide cordialement,0
two same pdd frame metal speaker under def only one ppd needed assemblie file a please delete one pdd p,0
bonjour jarrive a promouvoir eco attente approbation merci regler probleme asap formation backup mohammed lahoual e cordialement,1
